yellow: #FFDB7B, #FFCE3A, #FDBA1E, #F3AA1C, #E69C35, #F8E6B8, #F6D061
pink_cheerful: #FFBED3, #ED83A8, #CF5A83, #73354F, #A4456C, #FFE6EE, #F5ABC1
pink_calm: #DDBBC6, #C5A0AE, #AA8293, #685660, #806976, #EDE1E4, #D1B8C0
pink_industrial: #B7798E, #905C72, #70475A, #3B3539, #56434C, #D8BEC7, #A58793

violet_cartoonish: #D4B7FF, #A978E4, #7945BF, #3D226B, #603494, #F0E5FF, #C398F0
violet_arcade: #C38BFF, #8B4DE8, #5A19B8, #2C104E, #43177D, #EBD5FF, #AB67FF
violet_pastel: #D8C5E5, #BCA4D0, #9E83B6, #625172, #7D668F, #EEE6F3, #D5C5E0
violet_muted: #AA94B8, #8B749D, #6E587F, #4B4054, #594866, #D8CFDE, #B6A4C2
violet_fantasy: #C2A3EA, #8B62C2, #603C94, #332643, #49316E, #E8DCF5, #AA85D5
violet_minimalist: #B09AC3, #8E75A6, #6E5885, #4B4055, #584766, #DED4E5, #BAA7C9
violet_retro: #9674B8, #735394, #573D72, #3D3048, #49375A, #D7CAE3, #A487C0
violet_toy: #D1B6F1, #A47FD3, #7956AC, #402A5D, #5D3D82, #F0E5FA, #BE9BDD
violet_painterly: #AF9ABD, #8C769E, #6D5A7D, #4B4054, #574866, #DDD5E2, #BAA9C4
violet_board_game: #BFA3DB, #926CBD, #694A99, #372945, #50376E, #E8DDF0, #AA87CA
violet_metallic: #D1C1DA, #9787A3, #645A6C, #37323B, #4C4454, #F1EBF4, #AD9BB7
violet_void: #8D62E4, #5B359F, #382663, #121220, #292046, #CDB8F8, #5F54A8
violet_cheerful: #D1B8EC, #A581D0, #7B5BAA, #45325F, #61457F, #EEE4F7, #C09FDB
violet_calm: #C7BBD0, #A99BB6, #8B7C99, #5A5260, #6F6579, #E5E0E8, #CFC5D5
violet_industrial: #8C7A98, #6D5D79, #54485E, #37343A, #48404F, #CCC3D1, #9D8FA7

yellow_elegant: #F3DF9A, #D9BC62, #B99236, #5B4728, #87682E, #FAEDC8, #E4CE8A
yellow_ceramic: #FFF0B2, #E6CA78, #C99E49, #6C5437, #94713F, #FFF8DD, #EBD59D
yellow_gemstone: #FFE57A, #E6B928, #B78212, #493415, #765218, #FFF2B0, #D9A94D

red_elegant: #E5A09C, #C8706F, #A64E50, #51383D, #773D46, #F2D7D4, #D99A98
red_ceramic: #F2B0AA, #D27F78, #AF5B59, #664446, #884D50, #F8E3DF, #E0A6A0
red_gemstone: #F07972, #C94245, #92253A, #3B1F2C, #652636, #FFD1CB, #D8615C

blue_elegant: #A9C9DE, #7FA4BF, #5A7F9C, #3A4C5B, #49677B, #DFEBF2, #B7CFDE
blue_ceramic: #B9D9EA, #8CB7CF, #6794AF, #445A68, #557A8F, #E8F3F7, #C8DFE9
blue_gemstone: #73BFF0, #358AC9, #1E5F9B, #16334D, #204C73, #D7F0FF, #7BB6DC

green_elegant: #B0C99D, #88A974, #668653, #43513F, #526B48, #E2EBDB, #BED1B0
green_ceramic: #C2DDB1, #9CBD88, #789D68, #4E6048, #5F7D56, #EAF2E5, #CFE1C3
green_gemstone: #8ED15C, #56A33C, #32752F, #1F3E2A, #285B34, #DDF6C5, #83C76C

pink_elegant: #E5B4C2, #C98A9E, #A8647F, #5C434F, #7D5266, #F1DEE4, #DAB5C2
pink_ceramic: #F0C3D0, #D49AAC, #B3748D, #674B58, #8D6174, #F8E7EC, #E2BDCA
pink_gemstone: #F17FB0, #C84784, #8E2D66, #421F3B, #65264E, #FFD5E6, #DD6A9D

violet_elegant: #C8B7D4, #A18AB2, #7C668F, #4C4156, #604F70, #E7DFEC, #D0C1DA
violet_ceramic: #D7C6E1, #B39AC4, #8D75A3, #574A61, #6F5C80, #EEE7F2, #D7C7DF
violet_gemstone: #B886E6, #8050BC, #56358B, #2E2144, #432B68, #E8D5FA, #A97BD5
